Method, Threads, Block Size, Average Execution Time (µs)
Coalesced, 662464, 178, 186.086
Non-coalesced, 662464, 178, 150.661
Coalesced, 662464, 180, 185.147
Non-coalesced, 662464, 180, 154.477
Coalesced, 662464, 182, 183.585
Non-coalesced, 662464, 182, 167.234
Coalesced, 662464, 184, 175.644
Non-coalesced, 662464, 184, 155.8
Coalesced, 662464, 186, 173.243
Non-coalesced, 662464, 186, 151.903
Coalesced, 662464, 188, 187.109
Non-coalesced, 662464, 188, 187.19
Coalesced, 662464, 190, 163.06
Non-coalesced, 662464, 190, 155.348
Coalesced, 662464, 192, 163.576
Non-coalesced, 662464, 192, 165.891
Coalesced, 662464, 194, 171.718
Non-coalesced, 662464, 194, 178.74
Coalesced, 662464, 196, 191.524
Non-coalesced, 662464, 196, 155.625
Coalesced, 662464, 198, 158.459
Non-coalesced, 662464, 198, 173.933
Coalesced, 662464, 200, 176.433
Non-coalesced, 662464, 200, 190.671
Coalesced, 662464, 202, 144.816
Non-coalesced, 662464, 202, 192.917
Coalesced, 662464, 204, 185.568
Non-coalesced, 662464, 204, 175.071
Coalesced, 662464, 206, 174.243
Non-coalesced, 662464, 206, 176.551
Coalesced, 662464, 208, 175.916
Non-coalesced, 662464, 208, 168.815
Coalesced, 662464, 210, 183.289
Non-coalesced, 662464, 210, 205.352
Coalesced, 662464, 212, 166.344
Non-coalesced, 662464, 212, 180.802
Coalesced, 662464, 214, 175.605
Non-coalesced, 662464, 214, 186.524
Coalesced, 662464, 216, 168.878
Non-coalesced, 662464, 216, 194.52
Coalesced, 662464, 218, 172.341
Non-coalesced, 662464, 218, 193.003
Coalesced, 662464, 220, 164.465
Non-coalesced, 662464, 220, 170.597
Coalesced, 662464, 222, 166.117
Non-coalesced, 662464, 222, 172.64
Coalesced, 662464, 224, 167.968
Non-coalesced, 662464, 224, 182.419
Coalesced, 662464, 226, 156.898
Non-coalesced, 662464, 226, 160.727
Coalesced, 662464, 228, 166.221
